# restamp-normalizedname-drift.mjs — mode=APPLY
# project=crcmusiccharts
# started=2026-05-25T23:07:20.184Z

Phase 1: enumerated 625 library_index rows
Phase 1: built stem index — 413 unique stems, 0 orphaned rows excluded, 0 nameless rows excluded
RESTAMP   1Gtp4pR3MGaRK7ZjjX4Rtmjg2anfvoEsN name="Avinu Malkeinu - Full Score.pdf" ext=.pdf siblings=4 diff=[{"field":"normalizedName","was":"avinumalkeinufullscorepdf","now":"avinumalkeinufullscore"}]
RESTAMP   1HVCUZLeCu2_W3G3hMDwYxXd7o519rlcO name="Avinu Malkeinu_traditional_Em_Full Choir.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"avinumalkeinutraditionalemfullchoirmp3","now":"avinumalkeinutraditionalemfullchoir"}]
RESTAMP   1Ho4zPDwCihy2HOt7f7MuVRMMLbFMLWYR name="Oseh Shalom (Dub Remix).mp3" ext=.mp3 siblings=12 diff=[{"field":"normalizedName","was":"osehshalomdubremixmp3","now":"osehshalomdubremix"}]
RESTAMP   1Hq-7tDIFY0C7NbCgDR6zZC1rlkib3xOQ name="Mi Chamocha Shur Cantor Choir Descant.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"michamochashurcantorchoirdescantpdf","now":"michamochashurcantorchoirdescant"}]
RESTAMP   1ITxhruZY56v3j96hnqsk7YJ32-0coLcZ name="May The Memory Bass.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"maythememorybassmp3","now":"maythememorybass"}]
RESTAMP   1J6H_F6Ba02_rMRQEJbi_lBbMXCBag6SQ name="Avinu Malkeynu Janowski - Full Score.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"avinumalkeynujanowskifullscorepdf","now":"avinumalkeynujanowskifullscore"}]
RESTAMP   1J_RYWUgwlAoPrq29DN6VoDFft3YpMSom name="Mi chamocha (Moshav).pdf" ext=.pdf siblings=5 diff=[{"field":"normalizedName","was":"michamochamoshavpdf","now":"michamochamoshav"}]
RESTAMP   1J_YSGz4C9Fmx2CDQpUJ9iC5O19uA0j8o name="Unetaneh_Tokef_Bass.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"unetanehtokefbassmp3","now":"unetanehtokefbass"}]
RESTAMP   1JlQ6xacP4pH5FZ6ja_kaZ2DayoEpkrZs name="L'Cha Dodi Dmin .pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"lchadodidminpdf","now":"lchadodidmin"}]
RESTAMP   1K6ENNHsN324AcZmC6tFLLSdAKSpSyqF1 name="Candle Blessing - Full Score.pdf" ext=.pdf siblings=3 diff=[{"field":"normalizedName","was":"candleblessingfullscorepdf","now":"candleblessingfullscore"}]
RESTAMP   1K6cAZSsAcxurLVyHjW3MKCpfZzseE5kQ name="Hayom teamtzeinu - Full Score.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"hayomteamtzeinufullscorepdf","now":"hayomteamtzeinufullscore"}]
RESTAMP   1KV7ImMQF2i82sfPj9wvCnsZWZWo1SGlS name="Un'taneh Tokef - Full Score.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"untanehtokeffullscorepdf","now":"untanehtokeffullscore"}]
RESTAMP   1LIQvf7FQmRRKpfI1lP06PH70ef6Rn5I3 name="May The Memory Tenor.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"maythememorytenormp3","now":"maythememorytenor"}]
RESTAMP   1LPfmwfa8On5YHco9nC-dt5IyWk7QO4gV name="Barchu (Friedman).pdf" ext=.pdf siblings=8 diff=[{"field":"normalizedName","was":"barchufriedmanpdf","now":"barchufriedman"}]
RESTAMP   1LYIRI8GH4fA9Typust_4D98LjOWo5eSn name="The Great Aleinu (Alto).mp3" ext=.mp3 siblings=4 diff=[{"field":"normalizedName","was":"thegreataleinualtomp3","now":"thegreataleinualto"}]
RESTAMP   1MQBRtiDK77MOTTKR25mEZEqmclSRat1q name="Niggun_Full Choir.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"niggunfullchoirmp3","now":"niggunfullchoir"}]
RESTAMP   1Mqje155L1D2TpfeoLycAL_pxEs04epFw name="Veshamru.pdf" ext=.pdf siblings=3 diff=[{"field":"normalizedName","was":"veshamrupdf","now":"veshamru"}]
RESTAMP   1N3sQbSjY_Cq_ykw6zp32XvAJfq9tjvYG name="Mi chamocha (Moroccan).pdf" ext=.pdf siblings=5 diff=[{"field":"normalizedName","was":"michamochamoroccanpdf","now":"michamochamoroccan"}]
RESTAMP   1NhFwI5Bf91gSuCiONrIAj-SttN6GEG3u name="Dis Trust - Full Score.pdf" ext=.pdf siblings=3 diff=[{"field":"normalizedName","was":"distrustfullscorepdf","now":"distrustfullscore"}]
RESTAMP   1NqqJXEfTW1_B0sWBlcqAM4paZJOOmLuk name="Avinu Malkeinu.pdf" ext=.pdf siblings=4 diff=[{"field":"normalizedName","was":"avinumalkeinupdf","now":"avinumalkeinu"}]
RESTAMP   1Nz7ih3xr6Wb2XMeZZgrLJDCq_NoNAz7v name="T'filah Adonai s'fatai - Full Score.pdf" ext=.pdf siblings=3 diff=[{"field":"normalizedName","was":"tfilahadonaisfataifullscorepdf","now":"tfilahadonaisfataifullscore"}]
RESTAMP   1O1pvTb9_U_1Dh9TCookPxS7AlwfMA_Nh name="Fish Jam .mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"fishjammp3","now":"fishjam"}]
RESTAMP   1OUhfx4EW3ZAtuh-ZPnHxTF4-wGOJdBFy name="Ana B_Koach.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"anabkoachpdf","now":"anabkoach"}]
RESTAMP   1PYUlbQY0hweTHW2Qrc7Xn3_9vlHaUtee name="Bminor_simpletune.pdf" ext=.pdf siblings=1 diff=[{"field":"normalizedName","was":"bminorsimpletunepdf","now":"bminorsimpletune"}]
RESTAMP   1PxJ-AxXwI5GUS4s_RutSAO_gEsDF8Got name="Refa tziri.pdf" ext=.pdf siblings=3 diff=[{"field":"normalizedName","was":"refatziripdf","now":"refatziri"}]
RESTAMP   1Q27iTstQskArSk4-kHFfN0ZnQjV7Oau8 name="Aleinu - .pdf" ext=.pdf siblings=3 diff=[{"field":"normalizedName","was":"aleinupdf","now":"aleinu"}]
RESTAMP   1Q6yGoFDerBBWV7OYovZweFEIbzgRv--w name="Avinu Malkeinu Janowski D minor (Alto).mp3" ext=.mp3 siblings=4 diff=[{"field":"normalizedName","was":"avinumalkeinujanowskidminoraltomp3","now":"avinumalkeinujanowskidminoralto"}]
RESTAMP   1R7lq5sBnwIH6WxZda_IshPjTpAtN30tJ name="Nigun # 5.PDF" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"nigun5pdf","now":"nigun5"}]
RESTAMP   1RBpYbHvv44QhjezUIkQgWPN0nnel3zuy name="Sim Shalom - Full Score.pdf" ext=.pdf siblings=9 diff=[{"field":"normalizedName","was":"simshalomfullscorepdf","now":"simshalomfullscore"}]
RESTAMP   1RQzrqpgVhkcL3tvBWGCYUIhtPNhF1Fnr name="Mi chamocha shur.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"michamochashurpdf","now":"michamochashur"}]
RESTAMP   1RV-_S-0vCgswP7VfskC6wIchaBDQFNDa name="Michael's B'Mitzvah Jams.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"michaelsbmitzvahjamsmp3","now":"michaelsbmitzvahjams"}]
RESTAMP   1SH9vxGsFfIJ4mU_FaAaIX13hThwuqfH5 name="Shalom Alechem Shir Shabbat.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"shalomalechemshirshabbatpdf","now":"shalomalechemshirshabbat"}]
RESTAMP   1TCP25KtpY0BZ1ixLPMSkhT7_HdFNW7IL name="Mi_shebeirach jazz.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"mishebeirachjazzpdf","now":"mishebeirachjazz"}]
RESTAMP   1TJwxurV4SgcpM58SG9x6hQ8e7cY6Yp9T name="Mi Chamochah - Full Score.pdf" ext=.pdf siblings=5 diff=[{"field":"normalizedName","was":"michamochahfullscorepdf","now":"michamochahfullscore"}]
RESTAMP   1TRCzECDBOal5mr1SFh7JEY-r-NkhtaaW name="Avinu Malkeinu_traditional_Em_Bass.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"avinumalkeinutraditionalembassmp3","now":"avinumalkeinutraditionalembass"}]
RESTAMP   1TeiP5BlGnlP9ogYXO9yFL25J1Tz5k_RX name="dodi li (sher).png" ext=.png siblings=6 diff=[{"field":"normalizedName","was":"dodilisherpng","now":"dodilisher"}]
